question,temporality,feature,label,mode,model,f1_binary_mean,f1_binary_std,f1_macro_mean,f1_macro_std
1,False,all,depression,selection feature,KNeighborsClassifier,0.5547619047619048,0.1776962681623361,0.5547619047619048,0.17523672036210133
1,False,all,depression,selection feature,LinearSVC,0.49523809523809526,0.28091202292862144,0.5658730158730159,0.20096277932674284
1,False,all,depression,selection feature,GaussianNB,0.49333333333333335,0.22410315085295485,0.5705555555555556,0.19503481803748166
1,False,all,depression,selection feature,LogisticRegression,0.4838095238095238,0.17332286729260685,0.5855916305916307,0.16588636027509662
1,False,all,depression,selection feature,RandomForestClassifier,0.4022222222222222,0.07217947452849652,0.45777777777777773,0.15804554742772225
1,False,all,depression,selection feature,DecisionTreeClassifier,0.39333333333333337,0.2454021642574128,0.5033333333333333,0.1609002451486289
1,False,all,depression,selection feature,GradientBoostingClassifier,0.3333333333333333,0.408248290463863,0.4966666666666667,0.2906888370749727
1,False,all,depression,selection feature,SVC,0.15714285714285714,0.22812456318101873,0.34624819624819625,0.07297347610425725
1,False,all,depression,selection feature,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
1,False,all,depression,PCA,GaussianNB,0.6523809523809524,0.1342654493321113,0.7023809523809523,0.10301231130879031
1,False,all,depression,PCA,SVC,0.6314285714285715,0.18109643388909383,0.7003174603174603,0.15046392522513397
1,False,all,depression,PCA,DecisionTreeClassifier,0.5847619047619047,0.17986515483245358,0.6497619047619048,0.1435459584135713
1,False,all,depression,PCA,KNeighborsClassifier,0.540952380952381,0.1344173620143036,0.5580952380952381,0.03785639412257483
1,False,all,depression,PCA,GradientBoostingClassifier,0.5047619047619047,0.2138885207759591,0.568095238095238,0.1875867146420665
1,False,all,depression,PCA,RandomForestClassifier,0.418095238095238,0.3089445128467903,0.5235497835497835,0.20081806185576126
1,False,all,depression,PCA,LinearSVC,0.41428571428571426,0.11368891796488878,0.5042857142857142,0.10309001416436109
1,False,all,depression,PCA,LogisticRegression,0.4133333333333333,0.08366600265340754,0.4966666666666667,0.09817784316682099
1,False,all,depression,PCA,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
1,False,all,depression,Pass,LinearSVC,0.6476190476190476,0.04259177099999601,0.7018614718614719,0.07982162648131097
1,False,all,depression,Pass,KNeighborsClassifier,0.6119047619047618,0.22423970815183056,0.6119047619047618,0.2222957290558291
1,False,all,depression,Pass,LogisticRegression,0.5599999999999999,0.14605934866804426,0.6592424242424242,0.1184830078133395
1,False,all,depression,Pass,GaussianNB,0.540952380952381,0.20618552726932315,0.601031746031746,0.18645972021129623
1,False,all,depression,Pass,RandomForestClassifier,0.38,0.24675674031095662,0.5316666666666666,0.16055459438389727
1,False,all,depression,Pass,DecisionTreeClassifier,0.3514285714285714,0.223971572540183,0.4309523809523809,0.14517953542310613
1,False,all,depression,Pass,GradientBoostingClassifier,0.3,0.29814239699997197,0.4333333333333333,0.17756063127218766
1,False,all,depression,Pass,SVC,0.10909090909090909,0.24393468845452249,0.3560606060606061,0.051936777275765504
1,False,all,depression,Pass,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
1,False,all,anxiety,selection feature,GaussianNB,0.7197402597402597,0.08707184479601593,0.6403463203463203,0.07066069447539719
1,False,all,anxiety,selection feature,DecisionTreeClassifier,0.7188888888888888,0.20198093052636498,0.7099206349206348,0.13751073619873053
1,False,all,anxiety,selection feature,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
1,False,all,anxiety,selection feature,GradientBoostingClassifier,0.6571428571428571,0.20763488362498048,0.6321428571428571,0.19449808945776587
1,False,all,anxiety,selection feature,KNeighborsClassifier,0.6486291486291487,0.13637103249982074,0.5433621933621933,0.1727026464444611
1,False,all,anxiety,selection feature,RandomForestClassifier,0.6428571428571429,0.09780759955449397,0.6357142857142857,0.06908352924978167
1,False,all,anxiety,selection feature,LinearSVC,0.6171428571428571,0.2264184314989594,0.5903174603174604,0.2103432149549907
1,False,all,anxiety,selection feature,SVC,0.6052380952380952,0.1837842321607861,0.5935714285714285,0.0914329116033337
1,False,all,anxiety,selection feature,LogisticRegression,0.5123809523809524,0.20804674165200993,0.509047619047619,0.14082281689995121
1,False,all,anxiety,PCA,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
1,False,all,anxiety,PCA,SVC,0.6833333333333333,0.03726779962499652,0.5633333333333332,0.1555233101499579
1,False,all,anxiety,PCA,GradientBoostingClassifier,0.5476190476190477,0.13883218797250713,0.5042857142857142,0.06182228938540377
1,False,all,anxiety,PCA,DecisionTreeClassifier,0.5359307359307359,0.2088357634120855,0.4365367965367965,0.10921177939389867
1,False,all,anxiety,PCA,LinearSVC,0.46428571428571425,0.30281184147564055,0.5003968253968254,0.17880628295134737
1,False,all,anxiety,PCA,LogisticRegression,0.46428571428571425,0.30281184147564055,0.5003968253968254,0.17880628295134737
1,False,all,anxiety,PCA,KNeighborsClassifier,0.46222222222222226,0.19461896929610062,0.45777777777777773,0.1580455474277222
1,False,all,anxiety,PCA,GaussianNB,0.4504761904761905,0.2116665327547919,0.4471428571428572,0.13176587152202648
1,False,all,anxiety,PCA,RandomForestClassifier,0.44666666666666666,0.274469184669852,0.45787878787878783,0.11517344288828102
1,False,all,anxiety,Pass,GradientBoostingClassifier,0.6976190476190476,0.0792360061537797,0.6904761904761905,0.03992978531249619
1,False,all,anxiety,Pass,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
1,False,all,anxiety,Pass,RandomForestClassifier,0.6285714285714286,0.1146200466848658,0.6047619047619047,0.12057061517065584
1,False,all,anxiety,Pass,DecisionTreeClassifier,0.6165079365079364,0.2633811202658073,0.652063492063492,0.17957706254078928
1,False,all,anxiety,Pass,LinearSVC,0.5666666666666667,0.18066236157232332,0.5433333333333332,0.15200054824462528
1,False,all,anxiety,Pass,LogisticRegression,0.55,0.16244657241348273,0.5083333333333333,0.12162099599438685
1,False,all,anxiety,Pass,SVC,0.5253968253968254,0.328210828886767,0.5277200577200577,0.21190236917180214
1,False,all,anxiety,Pass,KNeighborsClassifier,0.5126984126984127,0.16105441179170216,0.4618253968253968,0.16454009904121186
1,False,all,anxiety,Pass,GaussianNB,0.5014285714285714,0.17572009281925663,0.4364285714285714,0.2068580417414478
2,False,all,depression,selection feature,LinearSVC,0.5614285714285714,0.36096525922496603,0.6431962481962482,0.2448642224173787
2,False,all,depression,selection feature,LogisticRegression,0.5447619047619048,0.3518915520428033,0.6553174603174603,0.22241127162654245
2,False,all,depression,selection feature,KNeighborsClassifier,0.4876190476190477,0.30907660000589143,0.5981746031746031,0.19225271080610354
2,False,all,depression,selection feature,DecisionTreeClassifier,0.3838095238095238,0.2941916940269849,0.4996825396825397,0.2467032566679899
2,False,all,depression,selection feature,GaussianNB,0.30857142857142855,0.20839522890069107,0.4344444444444444,0.11810153166367113
2,False,all,depression,selection feature,SVC,0.2571428571428571,0.27684651149997397,0.4540764790764791,0.1445211375943867
2,False,all,depression,selection feature,GradientBoostingClassifier,0.24761904761904763,0.24605734633835832,0.4187301587301587,0.12672667353734282
2,False,all,depression,selection feature,RandomForestClassifier,0.12380952380952381,0.17036708399998396,0.35968253968253966,0.05841129656702947
2,False,all,depression,selection feature,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
2,False,all,depression,PCA,LogisticRegression,0.4966666666666667,0.30740852297878796,0.6136363636363636,0.19310827477123801
