question,temporality,feature,label,mode,model,f1_train,f1_test
1,False,all,anxiety,SMOTE,LogisticRegression,1.0,0.5299145299145299
1,False,all,anxiety,SMOTE,KNeighborsClassifier,1.0,0.26666666666666666
1,False,all,anxiety,SMOTE,DecisionTreeClassifier,0.9642401021711366,0.8166666666666667
1,False,all,anxiety,SMOTE,RandomForestClassifier,1.0,0.6333333333333333
1,False,all,anxiety,SMOTE,SVC,0.7496807151979565,0.717948717948718
1,False,all,anxiety,SMOTE,LinearSVC,1.0,0.5299145299145299
1,False,all,anxiety,SMOTE,GaussianNB,0.9642401021711366,0.5454545454545454
1,False,all,anxiety,SMOTE,GradientBoostingClassifier,1.0,0.8166666666666667
1,False,all,anxiety,SMOTE,HistGradientBoostingClassifier,0.3333333333333333,0.35294117647058826
1,False,all,anxiety,Pass,LogisticRegression,1.0,0.5299145299145299
1,False,all,anxiety,Pass,KNeighborsClassifier,1.0,0.26666666666666666
1,False,all,anxiety,Pass,DecisionTreeClassifier,0.9198717948717949,0.8166666666666667
1,False,all,anxiety,Pass,RandomForestClassifier,1.0,0.5299145299145299
1,False,all,anxiety,Pass,SVC,0.3055555555555556,0.35294117647058826
1,False,all,anxiety,Pass,LinearSVC,1.0,0.5299145299145299
1,False,all,anxiety,Pass,GaussianNB,0.9198717948717949,0.5454545454545454
1,False,all,anxiety,Pass,GradientBoostingClassifier,1.0,0.8166666666666667
1,False,all,anxiety,Pass,HistGradientBoostingClassifier,0.358974358974359,0.3125
2,False,all,depression,selection feature,LogisticRegression,0.7771836007130125,1.0
2,False,all,depression,selection feature,KNeighborsClassifier,1.0,0.6071428571428572
2,False,all,depression,selection feature,DecisionTreeClassifier,0.9007936507936507,0.717948717948718
2,False,all,depression,selection feature,RandomForestClassifier,1.0,0.717948717948718
2,False,all,depression,selection feature,SVC,0.8015873015873016,0.6071428571428572
2,False,all,depression,selection feature,LinearSVC,0.7771836007130125,1.0
2,False,all,depression,selection feature,GaussianNB,0.7771836007130125,1.0
2,False,all,depression,selection feature,GradientBoostingClassifier,1.0,0.47619047619047616
2,False,all,depression,selection feature,HistGradientBoostingClassifier,0.40476190476190477,0.3125
2,False,all,depression,PCA,LogisticRegression,1.0,0.6071428571428572
2,False,all,depression,PCA,KNeighborsClassifier,1.0,0.47619047619047616
2,False,all,depression,PCA,DecisionTreeClassifier,0.7771836007130125,0.45
2,False,all,depression,PCA,RandomForestClassifier,1.0,0.3125
