accuracy,balanced_accuracy,f1,roc_auc
0.375,0.3666666666666667,0.4444444444444444,0.33333333333333337
0.42857142857142855,0.41666666666666663,0.3333333333333333,0.25
0.2857142857142857,0.35,0.2857142857142857,0.5
0.5714285714285714,0.5714285714285714,0.0,
0.42857142857142855,0.4583333333333333,0.3333333333333333,0.25
